Lake_Name,Year,Month,Target_NDCI,Air_Temp_C,Surface_Temp_C,Rainfall_mm,Wind_Speed,Lagged_NDTI,Lagged_Air_Temp_C,Lagged_Surface_Temp_C,Lagged_Wind_Speed
Poondi_Reservoir,2024,1,0.090598428,24.12893833,25.05443753,53.63305104,1.337321013,,24.62830708,25.05443753,2.157966717
Poondi_Reservoir,2024,2,0.025934603,25.93209457,29.11754111,2.241279259,1.052381637,-0.002242735,24.12893833,25.05443753,1.337321013
Poondi_Reservoir,2024,3,0.023955011,28.08503822,30.88336125,3.527711183,1.58835412,-0.0448847,25.93209457,29.11754111,1.052381637
Poondi_Reservoir,2024,4,0.052439383,31.06174255,34.23193946,4.041078851,2.106279963,-0.027912851,28.08503822,30.88336125,1.58835412
Poondi_Reservoir,2024,5,0.140950194,31.70380716,47.42764781,29.95327878,1.46670405,-0.012996181,31.06174255,34.23193946,2.106279963
Poondi_Reservoir,2024,6,0.201095525,29.80234528,40.63571625,185.1467094,1.996826557,0.01181682,31.70380716,47.42764781,1.46670405
Poondi_Reservoir,2024,9,0.259595083,29.92852556,46.40349288,106.0278442,1.266312857,,28.92306382,46.40349288,1.680229316
Poondi_Reservoir,2024,10,0.25468558,27.41435655,34.89073182,324.4203424,0.171978343,-0.010178022,29.92852556,46.40349288,1.266312857
Poondi_Reservoir,2024,12,0.143955863,24.86683914,28.39132956,274.797056,2.072322953,,25.40071568,28.39132956,2.498087098
Poondi_Reservoir,2025,1,0.065608962,23.44890105,24.26284677,30.44149733,1.905918756,-0.005872228,24.86683914,28.39132956,2.072322953
Poondi_Reservoir,2025,2,0.010528583,24.84775816,28.27086146,2.911704361,0.677302996,0.00675921,23.44890105,24.26284677,1.905918756
Poondi_Reservoir,2025,3,0.02046568,27.68411629,29.20317809,11.62122339,1.088974547,-0.026554661,24.84775816,28.27086146,0.677302996
Poondi_Reservoir,2025,5,0.036378752,30.77758753,27.76276045,63.61867583,1.274155442,,30.44294563,27.76276045,1.519792453
Poondi_Reservoir,2025,6,0.023477809,31.42110386,31.28192876,76.87464654,2.408777727,-0.026859077,30.77758753,27.76276045,1.274155442
Poondi_Reservoir,2025,8,0.024428466,28.59978022,34.43813727,171.7851338,1.659910543,,30.84628198,34.43813727,2.877845024
Poondi_Reservoir,2025,12,-0.003680513,23.07795977,25.0772106,94.10808095,2.386926675,,25.6464262,25.0772106,2.134585759
Poondi_Reservoir,2026,1,0.080230926,23.06745534,25.69335682,38.47002447,2.087542495,-0.038587606,23.07795977,25.0772106,2.386926675
Poondi_Reservoir,2026,2,0.05058839,24.40041513,24.71987704,2.386869729,1.611688566,-0.016476048,23.06745534,25.69335682,2.087542495
Poondi_Reservoir,2026,3,0.000721514,27.22831483,29.66861238,13.45223629,1.37656165,-0.049601345,24.40041513,24.71987704,1.611688566
Poondi_Reservoir,2026,4,-0.001516283,30.44002675,31.34697507,10.64850652,2.336047552,-0.037911807,27.22831483,29.66861238,1.37656165
Cholavaram_Lake,2024,1,0.129901412,24.74140053,27.68760417,31.98492497,1.739858363,,25.22085213,27.68760417,2.659652294
Cholavaram_Lake,2024,2,0.12330743,26.259605,32.39416166,2.607284278,1.443188227,-0.020658713,24.74140053,27.68760417,1.739858363
