Lake_Name,Cropland_Area_Ha
Mettur_Dam,6267.033491
Bhavanisagar_Dam,5026.826409
Amaravathi_Dam,5740.373651
Vaigai_Dam,13101.52437
Pechiparai_Dam,57.23307177
Papanasam_Dam,391.004905
Sholayar_Dam,7.558900568389893
Aliyar_Dam,975.2623613889324
Krishnagiri_Dam,10389.6469332609
Sathanur_Dam,11562.869478578175
Manimuthar_Dam,2540.6380547081394
Idukki_Dam,6.344831313323975
Mullaperiyar_Dam,3.762675433349609
Malampuzha_Dam,3206.9589343234816
Banasura_Sagar,577.333914898191
Parambikulam_Dam,0.2443668907165527
Neyyar_Dam,1.6607092933654786
Peechi_Dam,612.1601912030061
